SMILES,Name,Cluster,Center
Cn1ncc(C#N)c1-c1cccc(-n2cnnn2)c1,AB170_985764_990382,1,No
Cc1cc(CNCCc2cn(C)nn2)nn1C,AB160_815823_820838_324662,48,No
Cc1noc2ncc(C=NNc3nnc(C)n3C)cc12,AB3_1481483_1484525,23,No
Cn1nnnc1-c1ccc(NCc2ccnc(Br)c2)cc1,AB72_239681_242002,32,No
Cn1nnnc1-c1ccc(NCc2cccnc2Cl)cc1,AB72_239681_240794,32,No
Cn1nnnc1-c1ccc(NCc2ccccc2)cc1,AB72_239681_240258,32,Yes
Clc1cccc(-c2cccc(-n3cnnn3)c2)c1,AB170_985764_989327,1,No
Cn1nnnc1CCCNC(=O)c1ccon1,AB84_1610390_1614238,5,No
Cn1cnc(-c2ccc3nnn(C)c3c2)n1,AB170_985366_986234,31,Yes
Cc1nncn1N=Cc1csc(-c2cnn(C)c2)n1,AB1_1471686_1474905,8,No
CSc1ccc(CNc2cn(C)nn2)cc1,AB72_239599_240307,2,No
Cc1ccc(-c2cccc(-n3cnnn3)c2)cc1Cl,AB170_985764_992036,1,No
Cn1nnnc1-c1ccc(NC(=O)Cc2cccc(N)c2)cc1,AB131_602473_607984,32,No
Cn1nnc2ccc(-c3cncc(-n4cccn4)c3)cc21,AB170_985366_987371,31,No
Cc1cc(CNc2cn(C)nn2)cnc1Cl,AB72_239599_241021,2,No
Cc1cc(Cl)cc(CNc2cn(C)nn2)c1,AB72_239599_241350,2,Yes
Cn1nnnc1-c1ccc(NC(=O)c2cncc(CN)c2)cc1,AB131_602473_608227,32,No
Cc1cc(C=NNc2ccc(-n3cccn3)nn2)nn1C,AB1_1471261_1474630,35,Yes
Cc1cc(CCC(=O)NCc2nnnn2C)nn1C,AB83_1596784_1605885,5,No
c1cc(NCc2cncnc2)cc(-n2cnnn2)c1,AB146_798492_806707,24,No
Cc1nnnn1-c1ccc(C(=O)Nc2cccc(I)c2)cc1,AB39_270051_285500_925056,9,Yes
Oc1cc(-c2cccc(-n3cnnn3)c2)ncc1F,AB170_985764_988386,1,No
Cc1nc(CNc2cnn(C)c2)cs1,AB72_238962_240550,13,No
O=C(Nc1ccc(-n2cnnn2)cc1)c1ccc(Br)cc1Cl,AB13_18274_25379,42,No
Cn1cc(C(=O)C=Cc2cnnn2C)cn1,AB4_1696316_1697642,21,No
Cn1nnnc1-c1ccc(NC(=O)C(N)Cc2ccccc2)cc1,AB131_602473_607831,32,No
Cn1cnnc1CNC(=O)c1cn(-c2ccccc2)nn1,AB30_357858_374230,5,No
Cn1cc(C(=O)Nc2cc(-c3ccccc3)nn2C)nn1,AB39_275501_284629_1182630,43,No
Clc1cccc(-c2cccc(-n3cnnn3)c2)c1Cl,AB170_985764_987444,1,No
Cc1noc2ncc(C=NNc3ccc(C#N)cn3)cc12,AB3_1481489_1484525,23,No
c1ccc2nc(CCNc3ccc4nnnn4n3)ccc2c1,AB42_774194_780050,7,No
Cc1cc(CNC(=O)c2cn(-c3ccccc3)nn2)ccc1Br,AB30_363526_374230,5,No
Cc1nc(CNCc2cn(C)nn2)cs1,AB71_233908_236749,22,No
Cn1cnc2cc(-c3cncc(-n4cccn4)c3)ccc21,AB170_985548_987371,25,No
NC1(c2ccc(-c3cccc(-n4cnnn4)c3)cc2F)CCC1,AB170_985764_989372,1,No
Clc1ccc(CNc2ccc(-n3ccnn3)cc2)cc1Br,AB146_799027_807069,0,No
Cn1nnnc1-c1ccc(NCc2c(F)ccc(Br)c2F)cc1,AB72_239681_241280,32,No
Cc1cc(CNCc2nncn2C)nn1C,AB71_231173_237661,48,Yes
CCc1nncn1N=Cc1cc(Br)ccc1Br,AB1_1471692_1475190,8,No
Cn1nnc2ccc(-c3ccc(-n4cccn4)cc3)cc21,AB170_985366_986425,31,No
Clc1ccc(-c2cc(CNc3nnnn3-c3ccccc3)on2)cc1,AB42_777457_779904,7,No
Cn1ncnc1NC(=O)Cc1ccon1,AB12_4219_11822,13,No
O=C(Nc1ccc(-n2cnnn2)cc1)c1csc2c(Cl)cccc12,AB13_18274_32475,42,No
CCc1nncn1N=Cc1ccc(C)cc1C,AB1_1471692_1471933,8,No
Cc1nc(C=Nn2cnnc2C)oc1C,AB1_1471686_1475419,8,No
Clc1cc(Br)c2oc(CNCc3nnnn3-c3ccc(Br)cc3)cc2c1,AB71_236008_238736,37,No
Cc1c(CNCCc2nnnn2-c2ccccc2)ccc2ccccc12,AB146_802250_808964,37,No
Cc1ccn2c(C=Nn3cnnc3C)cnc2c1,AB1_1471686_1473174,8,No
Cc1cc(-c2ccc(F)cc2)ccc1-n1cnnn1,AB170_985281_990334,1,No
COC(=O)c1cc(Cn2ccnn2)nn1C,AB7_1720883_1724917,30,No
Cc1ccc(C)c(C(=O)Nc2ccc(-n3cnnn3)cc2)c1,AB13_18274_22826,42,No
Cc1nc(CC(=O)NCc2nnnn2C)cs1,AB30_369646_371901,5,No
Cn1cc(-c2ccc(NCc3cccc4c3nnn4C)nn2)cn1,AB163_916345_918522,14,No
Cn1nnnc1-c1ccc(NC(=O)CC(O)CN)cc1,AB131_602473_608066,32,No
Clc1ccc(-c2cc(CNc3ccc4nnnn4n3)on2)cc1,AB42_777457_780050,48,No
Cn1cc(CCNCc2cc3cnccc3o2)nn1,AB160_815823_820903_578239,22,No
Nc1ncnn1-c1ccc(-c2ccc3c(c2)CCO3)cc1,AB170_985287_989975,7,No
CSc1ccc(CNc2nncn2C)cc1,AB72_239594_240307,48,No
Cc1nnc(SCc2cccc(O)c2)[nH]1,AB15_1807626_1811492_1658400,7,No
Cc1cc(NC(=O)c2cn(C3CC3)nn2)nc2ccccc12,AB39_275151_286063_801571,43,No
Cn1cc(NCc2ccc(F)c(Cl)c2)nn1,AB72_239599_241084,2,No
Cn1nnc2ccc(-c3cnc(-n4ccnc4)nc3)cc21,AB170_985366_987408,31,No
Cc1noc2ncc(C=NNc3cccc(Br)c3)cc12,AB3_1481386_1484525,23,Yes
Cn1cc2ccc(-c3cccc(-n4nnnc4CN)c3)cc2n1,AB170_985455_989315,49,No
