SMILES,Name,Cluster,Center
C[SiH](C)c1cc([SiH](C)C)c([SiH](C)C)cc1[SiH](C)C,MCULE-2724267742,20,No
CC(C)(C)c1ccc(-c2c[nH]nn2)cc1,MCULE-8514373076,7,No
C[SiH](C)O[Si](O[SiH](C)C)(O[SiH](C)C)c1ccccc1,MCULE-3640725229,46,No
C[SiH](C)O[Si](C)(C)O[SiH](C)C,MCULE-1573002061,20,No
Cc1cc(C)c(-n2cnnc2)c([N+](=O)[O-])c1,MCULE-1797108862,33,No
C[SiH](C)[Si](C)([SiH](C)C)[SiH](C)C,MCULE-6473525224,20,Yes
CC[Si]([SiH](C)C)([SiH](C)C)[SiH](C)C,MCULE-9437904046,20,No
CC(=O)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,MCULE-4086229653,20,No
C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,MCULE-8267144379,20,No
C[SiH](C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[SiH](C)C,MCULE-4854027242,20,No
C[SiH](C)c1sc([SiH](C)C)c(Cl)c1Cl,MCULE-7259219954,20,No
C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,MCULE-2538446474,20,No
C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,MCULE-5047924648,20,No
C[SiH](C)[Si]([SiH](C)C)([SiH](C)C)[SiH](C)c1ccccc1,MCULE-7560666246,46,No
Cc1cc2c(cc1C)-c1nnnn1C(C)(C)C2,MCULE-7241834206,12,No
C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,MCULE-7893383376,20,No
CC[Si](CC)(CC)[Si]([SiH](C)C)([SiH](C)C)[SiH](C)C,MCULE-9620213750,20,No
C[SiH](C)O[Si](C)(O[SiH](C)C)O[SiH](C)C,MCULE-9921170709,20,No
Cc1cccc([SiH](C)c2ccccc2)c1,MCULE-3931330142,44,No
C[SiH](c1ccccc1)c1ccc(C(C)(C)C)cc1,MCULE-1643128273,46,No
Cc1cc2nnn(Cc3ccccc3)c2cc1C,MCULE-6939187873,40,No
Cc1cccc(C)c1-n1nnnc1S,MCULE-6685285784,12,No
Ic1n[nH]c2nnccc12,MCULE-3470472494,7,No
Cc1cc(C)c(-n2nnnc2S)c(C)c1,MCULE-1541173749,12,No
C[SiH](C)[Si]([SiH](C)C)([SiH](C)C)[Si]([SiH](C)C)([SiH](C)C)[SiH](C)c1ccccc1,MCULE-7114494900,46,No
CC(C)[SiH](O[SiH](C(C)C)C(C)C)C(C)C,MCULE-2079383918,20,No
CN([SiH](C)C)[Si](C)(C)N(C)[Si](C)(C)C,MCULE-9550682454,20,No
