;id;smiles;score;weight;logP;H_Don;H_Acc;rotatable_Bonds;heavy_atoms;lid_root2;trafic_light
1164;MCULE-2724267742;C[SiH](C)c1cc([SiH](C)C)c([SiH](C)C)cc1[SiH](C)C;-23.681;310.142;0.461;0;0;4;18;-5.581665228;0
1688;MCULE-8514373076;CC(C)(C)c1ccc(-c2c[nH]nn2)cc1;-21.4492;201.127;2.769;1;2;1;15;-5.538159626;0
2868;MCULE-3640725229;C[SiH](C)O[Si](O[SiH](C)C)(O[SiH](C)C)c1ccccc1;-23.4174;330.096;1.832;0;3;7;19;-5.372320006;0
2661;MCULE-1573002061;C[SiH](C)O[Si](C)(C)O[SiH](C)C;-17.7856;208.077;1.688;0;2;4;11;-5.36256017;0
855;MCULE-1797108862;Cc1cc(C)c(-n2cnnc2)c([N+](=O)[O-])c1;-21.4494;218.08;1.792;0;5;2;16;-5.36235;2
609;MCULE-6473525224;C[SiH](C)[Si](C)([SiH](C)C)[SiH](C)C;-17.6941;220.096;1.76;0;0;3;11;-5.334971882;0
2051;MCULE-9437904046;CC[Si]([SiH](C)C)([SiH](C)C)[SiH](C)C;-18.2192;234.111;2.15;0;0;4;12;-5.259430012;0
2424;MCULE-4086229653;CC(=O)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C;-20.1566;266.083;1.97;0;4;5;15;-5.204411741;0
2188;MCULE-8267144379;C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C;-18.6663;248.127;3.463;0;0;3;13;-5.177100136;1
1364;MCULE-4854027242;C[SiH](C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[SiH](C)C;-21.4826;350.159;4.185;0;0;5;18;-5.063497379;2
2789;MCULE-7259219954;C[SiH](C)c1sc([SiH](C)C)c(Cl)c1Cl;-18.2506;267.973;2.442;0;1;2;13;-5.061805701;0
2528;MCULE-2538446474;C[SiH](O[Si](C)(C)C)O[Si](C)(C)C;-17.4117;222.093;2.54;0;2;4;12;-5.026324841;0
1109;MCULE-5047924648;C[SiH](C[Si](C)(C)C)C[Si](C)(C)C;-17.2711;218.134;3.598;0;0;4;12;-4.985737117;1
1206;MCULE-7560666246;C[SiH](C)[Si]([SiH](C)C)([SiH](C)C)[SiH](C)c1ccccc1;-20.9901;326.119;1.973;0;0;5;18;-4.947414016;0
1042;MCULE-7241834206;Cc1cc2c(cc1C)-c1nnnn1C(C)(C)C2;-20.2748;228.137;2.248;0;4;0;17;-4.91736129;0
1778;MCULE-7893383376;C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C;-19.0214;282.096;2.407;0;3;6;15;-4.911304361;0
1026;MCULE-9620213750;CC[Si](CC)(CC)[Si]([SiH](C)C)([SiH](C)C)[SiH](C)C;-20.0608;320.166;3.717;0;0;7;17;-4.865458667;1
